Data (link pndb),Title,Description,Species,Gbif link
https://pndb.opendatasoft.com/explore/assets/distribution-de-luidia-ciliaris-cperm-3009-aphiaid-123920-en-atlantique/,"Distribution de Luidia ciliaris (CPERM 3009, AphiaID 123920) en ATLANTIQUE","Lien vers les données Distribution du taxon Luidia ciliaris établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Luidia ciliaris,https://www.gbif.org/species/2270661
https://pndb.opendatasoft.com/explore/assets/distribution-de-luidia-sarsii-cperm-4414-aphiaid-123922-en-atlantique/,"Distribution de Luidia sarsii (CPERM 4414, AphiaID 123922) en ATLANTIQUE","Lien vers les données Distribution du taxon Luidia sarsii établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Luidia sarsii,https://www.gbif.org/species/2270638
https://pndb.opendatasoft.com/explore/assets/distribution-de-macropipus-tuberculatus-cperm-1066-aphiaid-107397-en-atlantique/,"Distribution de Macropipus tuberculatus (CPERM 1066, AphiaID 107397) en ATLANTIQUE","Lien vers les données Distribution du taxon Macropipus tuberculatus établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Macropipus tuberculatus,https://www.gbif.org/species/2225620
https://pndb.opendatasoft.com/explore/assets/distribution-de-macropodia-rostrata-cperm-1136-aphiaid-107345-en-atlantique/,"Distribution de Macropodia rostrata (CPERM 1136, AphiaID 107345) en ATLANTIQUE","Distribution du taxon Macropodia rostrata établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)","Macropodia rostrata, Macropodia rostrata","https://www.gbif.org/species/5178697, https://www.gbif.org/species/5178697"
https://pndb.opendatasoft.com/explore/assets/distribution-de-macropodia-tenuirostris-cperm-1135-aphiaid-107346-en-atlantique/,"Distribution de Macropodia tenuirostris (CPERM 1135, AphiaID 107346) en ATLANTIQUE","Lien vers les données Distribution du taxon Macropodia tenuirostris établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Macropodia tenuirostris,https://www.gbif.org/species/5178695
https://pndb.opendatasoft.com/explore/assets/distribution-de-mactra-stultorum-cperm-392-aphiaid-140299-en-atlantique/,"Distribution de Mactra stultorum (CPERM 392, AphiaID 140299) en ATLANTIQUE","Lien vers les données Distribution du taxon Mactra stultorum établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Mactra stultorum,https://www.gbif.org/species/2286383
https://pndb.opendatasoft.com/explore/assets/distribution-de-munida-intermedia-cperm-1017-aphiaid-107157-en-atlantique/,"Distribution de Munida intermedia (CPERM 1017, AphiaID 107157) en ATLANTIQUE","Lien vers les données Distribution du taxon Munida intermedia établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Munida intermedia,https://www.gbif.org/species/4311018
https://pndb.opendatasoft.com/explore/assets/distribution-de-munida-rugosa-cperm-1016-aphiaid-107160-en-atlantique/,"Distribution de Munida rugosa (CPERM 1016, AphiaID 107160) en ATLANTIQUE","Lien vers les données Distribution du taxon Munida rugosa établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Munida rugosa,https://www.gbif.org/species/2222603
https://pndb.opendatasoft.com/explore/assets/distribution-de-nassarius-reticulatus-cperm-305-aphiaid-140513-en-atlantique/,"Distribution de Nassarius reticulatus (CPERM 305, AphiaID 140513) en ATLANTIQUE","Lien vers les données Distribution du taxon Nassarius reticulatus établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Nassarius reticulatus,https://www.gbif.org/species/2303019
https://pndb.opendatasoft.com/explore/assets/distribution-de-necora-puber-cperm-1076-aphiaid-107398-en-atlantique/,"Distribution de Necora puber (CPERM 1076, AphiaID 107398) en ATLANTIQUE","Lien vers les données Distribution du taxon Necora puber établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Necora puber,https://www.gbif.org/species/9736038
https://pndb.opendatasoft.com/explore/assets/distribution-de-nucula-nitidosa-cperm-7683-aphiaid-140589-en-atlantique/,"Distribution de Nucula nitidosa (CPERM 7683, AphiaID 140589) en ATLANTIQUE","Lien vers les données Distribution du taxon Nucula nitidosa établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Nucula nitidosa,https://www.gbif.org/species/2285577
https://pndb.opendatasoft.com/explore/assets/distribution-de-nymphaster-arenatus-cperm-7193-aphiaid-124048-en-atlantique/,"Distribution de Nymphaster arenatus (CPERM 7193, AphiaID 124048) en ATLANTIQUE","Distribution du taxon Nymphaster arenatus établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)","Nymphaster arenatus, Nymphaster arenatus","https://www.gbif.org/species/2271680, https://www.gbif.org/species/2271680"
https://pndb.opendatasoft.com/explore/assets/distribution-de-ophiothrix-luetkeni-cperm-3550-aphiaid-125134-en-atlantique/,"Distribution de Ophiothrix luetkeni (CPERM 3550, AphiaID 125134) en ATLANTIQUE","Lien vers les données Distribution du taxon Ophiothrix luetkeni établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)","Ophiothrix luetkeni, Ophiothrix luetkeni","https://www.gbif.org/species/5187800, https://www.gbif.org/species/5187800"
https://pndb.opendatasoft.com/explore/assets/distribution-de-ophiura-albida-cperm-1156-aphiaid-124913-en-atlantique/,"Distribution de Ophiura albida (CPERM 1156, AphiaID 124913) en ATLANTIQUE","Distribution du taxon Ophiura albida établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)","Ophiura albida, Ophiura albida","https://www.gbif.org/species/2277002, https://www.gbif.org/species/2277002"
https://pndb.opendatasoft.com/explore/assets/distribution-de-ophiura-ophiura-cperm-1155-aphiaid-124929-en-atlantique/,"Distribution de Ophiura ophiura (CPERM 1155, AphiaID 124929) en ATLANTIQUE","Lien vers les données Distribution du taxon Ophiura ophiura établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Ophiura ophiura,https://www.gbif.org/species/2276905
https://pndb.opendatasoft.com/explore/assets/distribution-de-palaemon-serratus-cperm-920-aphiaid-107616-en-atlantique/,"Distribution de Palaemon serratus (CPERM 920, AphiaID 107616) en ATLANTIQUE","Lien vers les données Distribution du taxon Palaemon serratus établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Palaemon serratus,https://www.gbif.org/species/2224987
https://pndb.opendatasoft.com/explore/assets/distribution-de-parastichopus-regalis-cperm-1177-aphiaid-149898-en-atlantique/,"Distribution de Parastichopus regalis (CPERM 1177, AphiaID 149898) en ATLANTIQUE","Lien vers les données Distribution du taxon Parastichopus regalis établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Parastichopus regalis,https://www.gbif.org/species/4343270
https://pndb.opendatasoft.com/explore/assets/distribution-de-parastichopus-tremulus-cperm-7273-aphiaid-124535-en-atlantique/,"Distribution de Parastichopus tremulus (CPERM 7273, AphiaID 124535) en ATLANTIQUE","Lien vers les données Distribution du taxon Parastichopus tremulus établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Parastichopus tremulus,https://www.gbif.org/species/2279107
https://pndb.opendatasoft.com/explore/assets/distribution-de-pasiphaea-multidentata-cperm-867-aphiaid-107676-en-atlantique/,"Distribution de Pasiphaea multidentata (CPERM 867, AphiaID 107676) en ATLANTIQUE","Lien vers les données Distribution du taxon Pasiphaea multidentata établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)","Pasiphaea multidentata, Pasiphaea multidentata","https://www.gbif.org/species/2222275, https://www.gbif.org/species/2222275"
https://pndb.opendatasoft.com/explore/assets/distribution-de-pasiphaea-sivado-cperm-868-aphiaid-107677-en-atlantique/,"Distribution de Pasiphaea sivado (CPERM 868, AphiaID 107677) en ATLANTIQUE","Lien vers les données Distribution du taxon Pasiphaea sivado établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Pasiphaea sivado,https://www.gbif.org/species/2222279
